Unnamed,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
323,,,7.38,Other,0.493,5.708,74.3,4.7211,,287,19.6,391.13,11.74,18.5
324,0.34109,0,7.38,,0.493,6.415,40.1,4.7211,5,287,,,6.12,25
325,0.19186,0,7.38,Other,0.493,,14.7,5.4159,5,287,,393.68,,24.6
326,0.30347,0,7.38,Other,0.493,6.312,28.9,,5,287,19.6,396.9,,23
327,0.24103,0,7.38,Other,,6.083,43.7,5.4159,,,,396.9,12.79,22.2
328,0.06617,0,3.24,Other,0.46,5.868,25.8,5.2146,4,,,382.44,9.97,19.3
329,0.06724,0,3.24,Other,0.46,,17.2,,,,16.9,,,22.6
330,0.04544,0,3.24,Other,0.46,,32.2,5.8736,4,,16.9,,,19.8
331,0.05023,35,6.06,Other,0.4379,5.706,,,1,,16.9,394.02,12.43,17.1
332,0.03466,35,6.06,Other,,6.031,23.3,,1,304,16.9,362.25,,19.4
333,0.05083,0,5.19,,,6.316,38.1,6.4584,5,,20.2,389.71,,22.2
334,0.03738,0,5.19,Other,0.515,6.31,,6.4584,,224,20.2,,,20.7
335,0.03961,0,5.19,Other,,6.037,,5.9853,,224,20.2,,8.01,21.1
336,0.03427,0,5.19,Other,0.515,,,5.2311,,224,20.2,396.9,9.8,19.5
337,0.03041,0,5.19,,0.515,5.895,59.6,,5,224,20.2,394.81,,18.5
338,0.03306,0,5.19,Other,0.515,6.059,,4.8122,,,,,8.51,20.6
339,0.05497,0,5.19,Other,0.515,5.985,45.4,,5,224,,,,19
340,,0,5.19,Other,0.515,5.968,,4.8122,,224,20.2,396.9,9.29,18.7
341,,35,1.52,Other,0.442,7.241,,7.0379,,,15.5,,5.49,32.7
342,,0,1.89,,,6.54,59.7,6.2669,1,422,,389.96,,16.5
343,0.02543,,3.78,Other,,6.696,56.4,5.7321,,370,17.6,,7.18,23.9
344,0.03049,55,3.78,,0.484,,,6.4654,,370,17.6,387.97,4.61,31.2
345,0.03113,0,4.39,Other,,6.014,,8.0136,3,352,18.8,385.64,10.53,17.5
346,0.06162,0,4.39,Other,0.442,5.898,52.3,,3,,18.8,364.61,,17.2
347,0.0187,85,4.15,Other,0.429,6.516,27.7,,,351,17.9,392.43,6.36,23.1
348,0.01501,80,2.01,Other,,,29.7,8.344,4,280,17,390.94,5.99,24.5
349,0.02899,40,1.25,Other,0.429,6.939,34.5,8.7921,1,335,19.7,389.85,5.89,26.6
350,0.06211,40,1.25,,,6.49,,8.7921,,335,19.7,396.9,,22.9
351,0.0795,60,1.69,Other,,6.579,35.9,10.7103,4,411,18.3,370.78,5.49,24.1
352,0.07244,,1.69,Other,,5.884,18.5,,4,411,18.3,392.33,7.79,18.6
353,0.01709,90,2.02,Other,0.41,,,12.1265,,,,384.46,,30.1
354,0.04301,80,1.91,Other,,5.663,21.9,,,334,22,,8.05,18.2
355,0.10659,80,1.91,Other,,5.936,19.5,10.5857,4,334,22,376.04,,20.6
356,8.98296,0,18.1,River,,6.212,97.4,2.1222,,666,20.2,377.73,,17.8
357,3.8497,0,18.1,,0.77,,,,24,666,20.2,,13.27,21.7
358,5.20177,,18.1,River,0.77,6.127,,2.7227,24,666,,395.43,11.48,22.7
359,4.26131,0,18.1,,0.77,6.112,81.3,2.5091,24,,20.2,390.74,,22.6
360,4.54192,0,18.1,Other,,6.398,88,,,,20.2,,7.79,25
361,3.83684,0,18.1,Other,,,,2.2955,24,666,20.2,350.65,14.19,19.9
362,3.67822,0,18.1,Other,,5.362,96.2,2.1036,24,,20.2,380.79,10.19,20.8
363,4.22239,0,18.1,,0.77,,89,,,666,20.2,353.04,,16.8
364,3.47428,0,18.1,River,,,82.9,,24,666,20.2,354.55,5.29,21.9
365,4.55587,,18.1,Other,0.718,3.561,87.9,1.6132,,,,354.7,7.12,27.5
366,3.69695,0,18.1,Other,0.718,4.963,91.4,,,,20.2,,,21.9
367,13.5222,0,18.1,Other,0.631,3.863,100,,24,666,20.2,131.42,13.33,23.1
368,4.89822,0,18.1,Other,,,,1.3325,,666,20.2,375.52,,50
369,5.66998,0,18.1,,,6.683,,,24,666,20.2,375.33,,50
370,6.53876,0,18.1,River,,,,1.2024,24,666,20.2,392.05,2.96,50
371,9.2323,0,18.1,,0.631,,,1.1691,24,,,366.15,9.53,50
372,8.26725,0,18.1,River,0.668,,,1.1296,,,20.2,,,50
373,11.1081,0,18.1,Other,0.668,,100,1.1742,24,666,,396.9,34.77,13.8
374,18.4982,0,18.1,Other,0.668,,,,24,666,20.2,396.9,37.97,13.8
375,19.6091,0,18.1,Other,0.671,7.313,,1.3163,24,666,20.2,,13.44,15
376,15.288,0,18.1,Other,0.671,6.649,93.3,1.3449,24,,20.2,,23.24,13.9
377,9.82349,0,18.1,Other,,6.794,,1.358,,666,,396.9,21.24,13.3
378,23.6482,0,18.1,Other,0.671,6.38,96.2,1.3861,24,666,,396.9,,13.1
379,17.8667,0,18.1,Other,,6.223,100,1.3861,24,666,20.2,393.74,21.78,10.2
380,88.9762,0,18.1,Other,,,91.9,1.4165,,,,396.9,,10.4
381,15.8744,,18.1,,,,99.1,1.5192,,,20.2,396.9,,10.9
382,9.18702,0,18.1,,,5.536,100,1.5804,24,666,20.2,396.9,23.6,11.3
383,7.99248,0,18.1,Other,0.7,,100,,24,666,20.2,396.9,24.56,12.3
384,20.0849,0,18.1,Other,0.7,4.368,,1.4395,24,666,,,,8.8
385,16.8118,0,18.1,Other,0.7,,98.1,1.4261,24,,20.2,,,7.2
386,,0,18.1,,0.7,,100,1.4672,24,666,20.2,,,10.5
387,22.5971,,18.1,,,,89.5,,24,666,20.2,396.9,31.99,7.4
388,14.3337,0,18.1,Other,0.7,,100,1.5895,,666,20.2,372.92,,10.2
389,8.15174,0,18.1,,,,,1.7281,24,666,20.2,396.9,20.85,11.5
390,6.96215,0,18.1,Other,0.7,5.713,97,1.9265,24,,20.2,394.43,17.11,15.1
391,5.29305,0,18.1,,0.7,,,,,,20.2,378.38,,23.2
392,11.5779,0,18.1,Other,,,97,1.77,24,666,,396.9,,9.7
393,8.64476,0,18.1,Other,0.693,6.193,,,24,,20.2,396.9,,13.8
394,13.3598,0,18.1,Other,0.693,5.887,94.7,1.7821,,666,20.2,,,12.7
395,8.71675,0,18.1,,0.693,,98.8,1.7257,,,,391.98,17.12,13.1
396,5.87205,0,18.1,,,,96,,24,666,20.2,396.9,19.37,12.5
397,7.67202,0,18.1,Other,0.693,,98.9,,24,666,20.2,,19.92,8.5
398,38.3518,0,18.1,Other,0.693,5.453,,1.4896,24,,20.2,,,5
399,,0,18.1,Other,0.693,5.852,,,24,666,,338.16,,6.3
400,,0,18.1,Other,,5.987,100,1.5888,24,,20.2,,26.77,5.6
401,14.2362,0,18.1,,0.693,6.343,,,24,,20.2,396.9,,7.2
402,9.59571,0,18.1,Other,0.693,6.404,100,1.639,24,666,20.2,376.11,20.31,12.1
403,24.8017,0,18.1,Other,0.693,5.349,96,1.7028,24,666,,396.9,,8.3
404,41.5292,0,18.1,Other,0.693,5.531,,1.6074,24,666,20.2,329.46,27.38,8.5
405,67.9208,0,18.1,Other,0.693,5.683,100,,24,666,20.2,384.97,22.98,5
406,20.7162,0,18.1,,0.659,4.138,100,1.1781,24,,,370.22,23.34,11.9
407,11.9511,0,18.1,Other,,5.608,100,1.2852,,,20.2,332.09,12.13,27.9
408,7.40389,0,18.1,Other,,,97.9,1.4547,24,,20.2,314.64,26.4,17.2
409,,0,18.1,Other,0.597,6.852,,1.4655,,666,20.2,,,27.5
410,51.1358,0,18.1,Other,0.597,5.757,,1.413,,666,,2.6,10.11,15
411,14.0507,0,18.1,Other,0.597,,100,,24,,20.2,35.05,21.22,17.2
412,18.811,0,18.1,Other,,4.628,,1.5539,24,,20.2,,34.37,17.9
413,28.6558,0,18.1,Other,0.597,,100,1.5894,24,,20.2,210.97,,16.3
414,,0,18.1,Other,,,100,1.6582,24,666,20.2,,36.98,7
415,18.0846,0,18.1,Other,0.679,6.434,100,1.8347,24,666,20.2,27.25,,7.2
416,10.8342,0,18.1,Other,0.679,,,,24,666,,21.57,,7.5
417,25.9406,0,18.1,Other,,5.304,,1.6475,24,666,,127.36,26.64,10.4
418,73.5341,0,18.1,Other,0.679,,100,1.8026,,666,20.2,16.45,,8.8
419,11.8123,0,18.1,Other,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74,8.4
420,11.0874,0,18.1,Other,,,100,1.8589,,,20.2,318.75,15.02,16.7
421,7.02259,0,18.1,Other,,6.006,95.3,,24,666,20.2,,15.7,14.2
422,12.0482,0,18.1,Other,,5.648,87.6,1.9512,,666,,,14.1,20.8
423,,0,18.1,Other,,,,,,666,,2.52,23.29,13.4
424,8.79212,0,18.1,Other,,5.565,70.6,2.0635,,666,20.2,3.65,,11.7
425,15.8603,0,18.1,Other,0.679,,95.4,1.9096,,666,20.2,,24.39,8.3
426,,0,18.1,Other,0.584,5.837,59.7,,,,20.2,,15.69,10.2
427,37.6619,0,18.1,,0.679,6.202,78.7,,,666,20.2,18.82,14.52,10.9
428,7.36711,0,18.1,Other,0.679,6.193,78.1,,24,,20.2,96.73,21.52,11
429,9.33889,0,18.1,Other,0.679,6.38,95.6,1.9682,24,666,20.2,,,9.5
430,8.49213,0,18.1,Other,0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64,14.5
431,10.0623,0,18.1,Other,,6.833,94.3,2.0882,24,666,20.2,,,14.1
432,6.44405,0,18.1,,,,74.8,2.2004,24,666,,,12.03,16.1
433,,0,18.1,,0.713,6.436,87.9,,24,666,20.2,100.19,16.22,14.3
434,13.9134,0,18.1,,,6.208,95,2.2222,,666,20.2,100.63,15.17,11.7
435,11.1604,0,18.1,Other,,6.629,94.6,2.1247,24,666,20.2,109.85,,13.4
436,14.4208,0,18.1,Other,,,93.3,2.0026,,,,27.49,18.05,9.6
437,15.1772,0,18.1,Other,,6.152,,1.9142,24,666,20.2,9.32,,8.7
438,13.6781,0,18.1,Other,0.74,5.935,87.9,,24,,,68.95,,8.4
439,9.39063,0,18.1,Other,,,93.9,1.8172,24,666,20.2,396.9,22.88,12.8
440,22.0511,0,18.1,Other,,,,1.8662,,666,20.2,,22.11,10.5
441,9.72418,0,18.1,Other,0.74,6.406,97.2,2.0651,24,666,20.2,385.96,,17.1
442,5.66637,0,18.1,Other,,6.219,,2.0048,24,666,,395.69,16.59,18.4
443,9.96654,0,18.1,Other,,6.485,100,,24,,20.2,,18.85,15.4
444,12.8023,0,18.1,Other,0.74,,,1.8956,,,20.2,240.52,,10.8
445,10.6718,0,18.1,Other,0.74,6.459,94.8,1.9879,,666,,43.06,23.98,11.8
446,6.28807,0,18.1,Other,0.74,6.341,96.4,2.072,,,20.2,318.01,,14.9
447,9.92485,,18.1,Other,0.74,6.251,96.6,2.198,,666,20.2,388.52,,12.6
448,9.32909,0,18.1,,,6.185,,,,,20.2,396.9,18.13,14.1
449,7.52601,0,18.1,Other,0.713,6.417,98.3,,24,666,20.2,304.21,19.31,13
450,6.71772,0,18.1,,0.713,6.749,92.6,2.3236,24,666,20.2,,17.44,13.4
451,5.44114,0,18.1,Other,0.713,,98.2,2.3552,,666,20.2,355.29,,15.2
452,,0,18.1,Other,0.713,,91.8,2.3682,24,666,,385.09,,16.1
453,,0,18.1,Other,0.713,,99.3,2.4527,24,666,20.2,375.87,,17.8
454,9.51363,0,18.1,Other,0.713,,94.1,2.4961,,666,20.2,,18.71,14.9
455,4.75237,0,18.1,Other,,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,14.1
456,4.66883,0,18.1,Other,0.713,5.976,87.9,,24,666,,,19.01,12.7
457,8.20058,0,18.1,Other,0.713,,,2.7792,24,666,,3.5,16.94,13.5
458,7.75223,0,18.1,,,6.301,83.7,2.7831,,666,20.2,,,14.9
459,6.80117,0,18.1,,0.713,,84.4,2.7175,24,666,20.2,396.9,,20
460,,0,18.1,,,6.701,90,,,666,20.2,255.23,16.42,16.4
461,3.69311,0,18.1,Other,,,,,,,,391.43,14.65,17.7
462,6.65492,0,18.1,Other,0.713,6.317,83,2.7344,,,,396.9,,19.5
463,5.82115,0,18.1,Other,0.713,6.513,,,24,666,20.2,393.82,10.29,20.2
464,7.83932,0,18.1,Other,,6.209,65.4,,,666,20.2,396.9,13.22,21.4
465,3.1636,0,18.1,Other,0.655,5.759,,3.0665,24,666,20.2,,,19.9
466,3.77498,0,18.1,Other,0.655,5.952,,,24,666,,22.01,17.15,19
467,4.42228,0,18.1,Other,0.584,,,2.5403,,666,20.2,,21.32,19.1
468,15.5757,0,18.1,Other,0.58,5.926,71,2.9084,,,20.2,,18.13,19.1
469,13.0751,0,18.1,Other,,,,2.8237,24,,20.2,,14.76,20.1
470,4.34879,0,18.1,Other,,6.167,84,3.0334,24,,20.2,396.9,16.29,19.9
471,4.03841,,18.1,,,6.229,90.7,,,666,20.2,,12.87,19.6
472,,0,18.1,Other,0.58,,,2.8965,,666,20.2,393.37,14.36,23.2
473,4.64689,0,18.1,Other,0.614,,67.6,2.5329,24,,20.2,374.68,11.66,29.8
474,8.05579,0,18.1,,,5.427,95.4,2.4298,24,666,,,18.14,13.8
475,6.39312,0,18.1,Other,0.584,,,,24,666,,302.76,24.1,13.3
476,,0,18.1,Other,0.614,6.484,,2.3053,,666,20.2,396.21,,16.7
477,15.0234,0,18.1,Other,0.614,,97.3,,,,20.2,349.48,,12
478,10.233,0,18.1,Other,0.614,,96.7,2.1705,,,,379.7,18.03,14.6
479,14.3337,0,18.1,Other,0.614,6.229,88,1.9512,24,666,20.2,383.32,,21.4
480,5.82401,0,18.1,,,,,3.4242,24,,,396.9,10.74,23
481,5.70818,0,18.1,Other,,6.75,74.9,3.3317,24,666,20.2,393.07,7.74,23.7
482,5.73116,0,18.1,Other,0.532,7.061,,3.4106,,666,,,7.01,25
483,2.81838,0,18.1,Other,,,40.3,4.0983,24,,,392.92,10.42,21.8
484,2.37857,0,18.1,Other,0.583,5.871,,3.724,24,,20.2,370.73,,20.6
485,,0,18.1,Other,,,51.9,3.9917,,666,20.2,388.62,10.58,21.2
486,5.69175,0,18.1,Other,0.583,6.114,,,24,,20.2,,,19.1
487,4.83567,0,18.1,Other,0.583,5.905,,3.1523,24,666,,,11.45,20.6
488,0.15086,0,27.74,Other,0.609,5.454,92.7,,4,711,,395.09,18.06,15.2
489,0.18337,0,27.74,,0.609,5.414,,1.7554,,711,,,23.97,7
490,0.20746,,27.74,Other,,,98,1.8226,4,711,,318.43,,8.1
491,0.10574,0,27.74,Other,,5.983,,,4,,20.1,390.11,,13.6
492,0.11132,0,27.74,Other,0.609,5.983,83.5,2.1099,,711,20.1,,13.35,20.1
493,0.17331,0,9.69,Other,0.585,5.707,54,2.3817,6,,19.2,,,21.8
494,0.27957,0,9.69,Other,,,,2.3817,6,391,,,13.59,24.5
495,0.17899,0,9.69,Other,0.585,,28.8,2.7986,6,391,19.2,393.29,17.6,23.1
496,,0,9.69,Other,,5.39,,2.7986,6,391,19.2,396.9,21.14,19.7
497,0.26838,0,9.69,Other,,5.794,70.6,2.8927,6,391,19.2,,14.1,18.3
498,0.23912,0,9.69,Other,0.585,6.019,,2.4091,,391,19.2,396.9,12.92,21.2
499,0.17783,0,9.69,Other,,,,2.3999,6,,,395.77,15.1,17.5
500,0.22438,0,9.69,Other,0.585,6.027,,2.4982,6,391,19.2,396.9,14.33,16.8
501,0.06263,0,-11.93,Other,0.573,6.593,69.1,,,273,,391.99,,22.4
502,0.04527,0,-11.93,Other,,6.12,76.7,2.2875,1,273,21,,9.08,20.6
503,0.06076,,-11.93,Other,0.573,,91,,,273,21,396.9,5.64,23.9
504,0.10959,0,-11.93,Other,,6.794,89.3,,1,,,393.45,,22
505,,0,-11.93,,0.573,6.03,80.8,2.505,1,,21,396.9,7.88,11.9
